2026-08-09 10:49:36 | INFO     | orders.order_manager         | [2025-03-06 15:30:00] ORDER CREATED: BUY EURUSD target_notional=3247.89 lots=0.03 (regime=trending; trend-following (primary) says up; mean-reversion (secondary) conflicts with primary; shrink=0.903)
2026-08-09 10:49:36 | WARNING  | orders.order_manager         | [2025-03-06 15:30:00] ORDER REJECTED: BUY EURUSD — margin required (32.48) exceeds usable free cash (-5829.35 after 10% safety buffer) — account cannot support this position at current leverage
2026-08-09 10:49:36 | INFO     | orders.order_manager         | [2025-03-06 16:00:00] ORDER CREATED: BUY EURUSD target_notional=3247.14 lots=0.03 (regime=trending; trend-following (primary) says up; mean-reversion (secondary) conflicts with primary; shrink=0.790)
2026-08-09 10:49:36 | WARNING  | orders.order_manager         | [2025-03-06 16:00:00] ORDER REJECTED: BUY EURUSD — margin required (32.47) exceeds usable free cash (-5827.13 after 10% safety buffer) — account cannot support this position at current leverage
2026-08-09 10:49:36 | INFO     | orders.order_manager         | [2025-03-06 16:30:00] ORDER CREATED: BUY EURUSD target_notional=3251.19 lots=0.03 (regime=trending; trend-following (primary) says up; mean-reversion (secondary) conflicts with primary; shrink=0.790)
2026-08-09 10:49:36 | WARNING  | orders.order_manager         | [2025-03-06 16:30:00] ORDER REJECTED: BUY EURUSD — margin required (32.51) exceeds usable free cash (-5839.14 after 10% safety buffer) — account cannot support this position at current leverage
2026-08-09 10:49:36 | INFO     | orders.order_manager         | [2025-03-06 17:00:00] ORDER CREATED: BUY EURUSD target_notional=2.08 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) agrees with primary; shrink=0.000)
2026-08-09 10:49:36 | WARNING  | orders.order_manager         | [2025-03-06 17:00:00] ORDER REJECTED: BUY EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:36 | INFO     | orders.order_manager         | [2025-03-06 17:30:00] ORDER CREATED: BUY EURUSD target_notional=2.08 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) agrees with primary; shrink=0.000)
2026-08-09 10:49:36 | WARNING  | orders.order_manager         | [2025-03-06 17:30:00] ORDER REJECTED: BUY EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:36 | INFO     | orders.order_manager         | [2025-03-06 18:00:00] ORDER CREATED: BUY EURUSD target_notional=2.08 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) agrees with primary; shrink=0.000)
2026-08-09 10:49:36 | WARNING  | orders.order_manager         | [2025-03-06 18:00:00] ORDER REJECTED: BUY EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:36 | INFO     | orders.order_manager         | [2025-03-06 18:30:00] ORDER CREATED: BUY EURUSD target_notional=1.42 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) agrees with primary; shrink=0.000)
2026-08-09 10:49:36 | WARNING  | orders.order_manager         | [2025-03-06 18:30:00] ORDER REJECTED: BUY EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:36 | INFO     | orders.order_manager         | [2025-03-07 11:00:00] ORDER CREATED: BUY EURUSD target_notional=260.04 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) conflicts with primary; shrink=0.060)
2026-08-09 10:49:36 | WARNING  | orders.order_manager         | [2025-03-07 11:00:00] ORDER REJECTED: BUY EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:37 | INFO     | orders.order_manager         | [2025-03-11 10:30:00] ORDER CREATED: BUY EURUSD target_notional=149.79 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) conflicts with primary; shrink=0.035)
2026-08-09 10:49:37 | WARNING  | orders.order_manager         | [2025-03-11 10:30:00] ORDER REJECTED: BUY EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:37 | INFO     | orders.order_manager         | [2025-03-12 14:30:00] ORDER CREATED: BUY USDJPY target_notional=1000.00 lots=0.01 (regime=trending; trend-following (primary) says up; mean-reversion (secondary) conflicts with primary; shrink=0.266)
2026-08-09 10:49:37 | WARNING  | orders.order_manager         | [2025-03-12 14:30:00] ORDER REJECTED: BUY USDJPY — margin required (10.00) exceeds usable free cash (-5875.72 after 10% safety buffer) — account cannot support this position at current leverage
2026-08-09 10:49:38 | INFO     | orders.order_manager         | [2025-03-13 06:00:00] ORDER CREATED: SELL USDJPY target_notional=800.00 lots=None (regime=trending; trend-following (primary) says down; mean-reversion (secondary) conflicts with primary; shrink=1.000)
2026-08-09 10:49:38 | WARNING  | orders.order_manager         | [2025-03-13 06:00:00] ORDER REJECTED: SELL USDJPY — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:38 | INFO     | orders.order_manager         | [2025-03-13 06:30:00] ORDER CREATED: SELL USDJPY target_notional=800.00 lots=None (regime=trending; trend-following (primary) says down; mean-reversion (secondary) conflicts with primary; shrink=1.000)
2026-08-09 10:49:38 | WARNING  | orders.order_manager         | [2025-03-13 06:30:00] ORDER REJECTED: SELL USDJPY — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:38 | INFO     | orders.order_manager         | [2025-03-13 07:00:00] ORDER CREATED: SELL USDJPY target_notional=800.00 lots=None (regime=trending; trend-following (primary) says down; mean-reversion (secondary) conflicts with primary; shrink=0.876)
2026-08-09 10:49:38 | WARNING  | orders.order_manager         | [2025-03-13 07:00:00] ORDER REJECTED: SELL USDJPY — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:38 | INFO     | orders.order_manager         | [2025-03-13 07:30:00] ORDER CREATED: SELL USDJPY target_notional=800.00 lots=None (regime=trending; trend-following (primary) says down; mean-reversion (secondary) conflicts with primary; shrink=0.891)
2026-08-09 10:49:38 | WARNING  | orders.order_manager         | [2025-03-13 07:30:00] ORDER REJECTED: SELL USDJPY — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:38 | INFO     | orders.order_manager         | [2025-03-13 08:00:00] ORDER CREATED: SELL USDJPY target_notional=800.00 lots=None (regime=trending; trend-following (primary) says down; mean-reversion (secondary) conflicts with primary; shrink=0.891)
2026-08-09 10:49:38 | WARNING  | orders.order_manager         | [2025-03-13 08:00:00] ORDER REJECTED: SELL USDJPY — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:38 | INFO     | orders.order_manager         | [2025-03-13 14:30:00] ORDER CREATED: SELL EURUSD target_notional=1083.48 lots=0.01 (regime=trending; trend-following (primary) says down; mean-reversion (secondary) conflicts with primary; shrink=0.013)
2026-08-09 10:49:38 | INFO     | orders.order_manager         | [2025-03-13 15:00:00] ORDER CREATED: SELL EURUSD target_notional=585.30 lots=None (regime=trending; trend-following (primary) says down; mean-reversion (secondary) conflicts with primary; shrink=0.006)
